stop_id,stop_name                                                       ,stop_lat  ,stop_lon
1000   ,Pine St & 9th Ave                                               ,47.6134148,-122.332138
10000  ,NE 55th St & 43rd Ave NE                                        ,47.6685753,-122.283653
10005  ,40th Ave NE & NE 51st St                                        ,47.6658859,-122.284897
10010  ,NE 55th St & 39th Ave NE                                        ,47.6685791,-122.285667
10020  ,NE 55th St & 37th Ave NE                                        ,47.6685791,-122.2883
10030  ,NE 55th St & 35th Ave NE                                        ,47.6685791,-122.290512
10040  ,NE 55th St & 33rd Ave NE                                        ,47.6685829,-122.293015
10050  ,NE 55th St & 30th Ave NE                                        ,47.6685905,-122.295448
10060  ,NE 55th St & 27th Ave NE                                        ,47.6685944,-122.298859
10070  ,NE 55th St & 25th Ave NE                                        ,47.6685944,-122.300995
10083  ,Ravenna Ave NE & Ravenna Pl NE                                  ,47.6684799,-122.30378
1010   ,Howell St & Minor Ave                                           ,47.6167107,-122.330597
10100  ,NE Ravenna Blvd & Park Rd NE                                    ,47.6695518,-122.305405
10110  ,20th Ave NE & NE 55th St                                        ,47.6682739,-122.30658
10120  ,20th Ave NE & NE 52nd St                                        ,47.6662827,-122.306602
10130  ,NE 50th St & 19th Ave NE                                        ,47.6649284,-122.307114
10145  ,NE 50th St & 16th Ave NE                                        ,47.664959 ,-122.311172
10170  ,Fairview Ave E & E Nelson Pl                                    ,47.6306038,-122.328629
10180  ,Fairview Ave N & Yale Ave N                                     ,47.6283493,-122.33152
10190  ,Fairview Ave N & Aloha St                                       ,47.6272087,-122.332947
10210  ,Fairview Ave N & W Mercer St                                    ,47.6240349,-122.334457
10225  ,Fairview Ave N & Thomas St                                      ,47.6205864,-122.334419
10240  ,Boren Ave & Virginia St                                         ,47.6175003,-122.333817
10280  ,Fairview Ave & Denny Way                                        ,47.6184196,-122.334198
10305  ,Fairview Ave N & Harrison St                                    ,47.6222763,-122.334244
10325  ,Fairview Ave N & Valley St                                      ,47.626545 ,-122.333542
10328  ,Valley St & Fairview Ave N                                      ,47.6260338,-122.334106
10340  ,Fairview Ave N & Yale Ave N                                     ,47.6288757,-122.330597
10350  ,Fairview Ave E & Yale Ave N                                     ,47.6304703,-122.328545
10370  ,NE 50th St & University Way NE                                  ,47.6648293,-122.31266
10380  ,NE 50th St & 16th Ave NE                                        ,47.664814 ,-122.310432
1040   ,Olive Way & 6th Ave                                             ,47.6130257,-122.336334
10400  ,20th Ave NE & NE 50th St                                        ,47.6650276,-122.306404
10410  ,20th Ave NE & NE 52nd St                                        ,47.6666412,-122.306404
10420  ,20th Ave NE & NE 54th St                                        ,47.6681709,-122.306389
